"","elevacion","fechahora","lat_geo","lon_geo","lat_utm","lon_utm","tiempo_GPS","hora","horal","distancia"
"68",547.89,2019-10-09 08:46:10,-26.3499035966,-53.9504081849,7081968.07492074,804373.930517694,3,"08:46:10","11:46:10",1.59177609560642
"69",547.88,2019-10-09 08:46:13,-26.3499131519,-53.9504020661,7081967.00131562,804374.516529653,3,"08:46:13","11:46:13",1.22312631156531
"70",547.72,2019-10-09 08:46:16,-26.3499188516,-53.9504029043,7081966.3715128,804374.41788263,3,"08:46:16","11:46:16",0.637481626401054
"71",547.82,2019-10-09 08:46:19,-26.3499276526,-53.9503975399,7081965.38329942,804374.93053298,3,"08:46:19","11:46:19",1.1132726830653
"72",547.93,2019-10-09 08:46:22,-26.3499414828,-53.9503879007,7081963.8275302,804375.856906343,3,"08:46:22","11:46:22",1.81068646953528
"73",547.9,2019-10-09 08:46:25,-26.3499568217,-53.9503741544,7081962.09483024,804377.189482777,3,"08:46:25","11:46:25",2.18586575341815
"74",555.08,2019-10-09 08:46:28,-26.3499536365,-53.9503925946,7081962.49144021,804375.356290697,3,"08:46:28","11:46:28",1.87560461381679
"75",563.73,2019-10-09 08:46:31,-26.3499527983,-53.9504018985,7081962.60632165,804374.429348504,3,"08:46:31","11:46:31",0.934034032634796
"76",570.91,2019-10-09 08:46:34,-26.3499468472,-53.9504168183,7081963.30120348,804372.954972825,3,"08:46:34","11:46:34",1.62992159428667
"77",576.36,2019-10-09 08:46:37,-26.3499360345,-53.9504365157,7081964.54625055,804371.016222009,3,"08:46:37","11:46:37",2.30410436466316
"78",580.58,2019-10-09 08:46:40,-26.3499215338,-53.9504422154,7081966.16703777,804370.485025978,3,"08:46:40","11:46:40",1.70561439205074
"79",583.8,2019-10-09 08:46:43,-26.3499110565,-53.9504464902,7081967.33848705,804370.085582566,3,"08:46:43","11:46:43",1.23767865143624
"80",586.39,2019-10-09 08:46:46,-26.3499040157,-53.9504451491,7081968.11575628,804370.23796694,3,"08:46:46","11:46:46",0.792065940988664
"81",588.71,2019-10-09 08:46:49,-26.3498983998,-53.9504463226,7081968.74102089,804370.13549446,3,"08:46:49","11:46:49",0.633605908685137
"82",590.79,2019-10-09 08:46:52,-26.3498920295,-53.9504531957,7081969.46336628,804369.46580526,3,"08:46:52","11:46:52",0.985021055070871
"83",592.11,2019-10-09 08:46:55,-26.3498874195,-53.9504555427,7081969.97990326,804369.243503869,3,"08:46:55","11:46:55",0.562341855135537
"84",593.47,2019-10-09 08:46:58,-26.349884402,-53.9504628349,7081970.33159777,804368.523172911,3,"08:46:58","11:46:58",0.801601967341678
"85",594.71,2019-10-09 08:47:01,-26.3498843182,-53.9504652657,7081970.3466268,804368.280639207,3,"08:47:01","11:47:01",0.242998909016427
"86",595.83,2019-10-09 08:47:04,-26.3498859107,-53.9504619967,7081970.16238681,804368.602925852,3,"08:47:04","11:47:04",0.371231806864449
"87",596.85,2019-10-09 08:47:07,-26.3498935383,-53.9504582249,7081969.30799991,804368.959606418,3,"08:47:07","11:47:07",0.925849887016013
"88",597.91,2019-10-09 08:47:10,-26.3499011658,-53.9504558779,7081968.45698869,804369.173998675,3,"08:47:10","11:47:10",0.877601350657828
"89",598.92,2019-10-09 08:47:13,-26.349908039,-53.9504573867,7081967.69869306,804369.005306199,3,"08:47:13","11:47:13",0.776832937358311
"90",599.61,2019-10-09 08:47:16,-26.3499169238,-53.9504575543,7081966.71425479,804368.965280895,3,"08:47:16","11:47:16",0.985251605287987
"91",600.16,2019-10-09 08:47:19,-26.3499234617,-53.9504570514,7081965.98837487,804368.998366893,3,"08:47:19","11:47:19",0.726633571925137
"92",600.49,2019-10-09 08:47:22,-26.3499259762,-53.9504583925,7081965.71282253,804368.85784643,3,"08:47:22","11:47:22",0.309313901142161
"93",600.81,2019-10-09 08:47:25,-26.3499262277,-53.9504624996,7081965.69464384,804368.447029282,3,"08:47:25","11:47:25",0.411219155509862
"94",601.28,2019-10-09 08:47:28,-26.3499285746,-53.9504638407,7081965.43766909,804368.306948127,3,"08:47:28","11:47:28",0.292675162409045
"95",601.77,2019-10-09 08:47:31,-26.3499310054,-53.9504680317,7081965.17812439,804367.882040151,3,"08:47:31","11:47:31",0.497905853687202
"96",601.95,2019-10-09 08:47:34,-26.3499291614,-53.9504697919,7081965.38667888,804367.711090024,3,"08:47:34","11:47:34",0.269664457679702
"97",602.14,2019-10-09 08:47:37,-26.3499306701,-53.950464176,7081965.20618557,804368.26797072,3,"08:47:37","11:47:37",0.585400668764967
"98",602.21,2019-10-09 08:47:40,-26.3499217015,-53.9504571352,7081966.18368181,804368.994611796,3,"08:47:40","11:47:40",1.21799267307975
"99",602.34,2019-10-09 08:47:43,-26.3499172591,-53.9504459035,7081966.64957549,804370.1279161,3,"08:47:43","11:47:43",1.22533079845274
"100",602.44,2019-10-09 08:47:46,-26.3499105535,-53.9504366834,7081967.37108344,804371.066262941,3,"08:47:46","11:47:46",1.18366739970107
"101",602.22,2019-10-09 08:47:49,-26.3499056082,-53.9504353423,7081967.91607734,804371.21315485,3,"08:47:49","11:47:49",0.564442724800225
"102",602.36,2019-10-09 08:47:52,-26.3499004114,-53.9504352584,7081968.49191758,804371.235154931,3,"08:47:52","11:47:52",0.576260339163336
"103",602.22,2019-10-09 08:47:55,-26.349898316,-53.950435007,7081968.72358814,804371.265753408,3,"08:47:55","11:47:55",0.233682507700934
"104",602.44,2019-10-09 08:47:58,-26.3498991542,-53.950433163,7081968.62632343,804371.447708583,3,"08:47:58","11:47:58",0.206320402657423
"105",602.32,2019-10-09 08:48:01,-26.3498979807,-53.9504304808,7081968.75006585,804371.718643993,3,"08:48:01","11:48:01",0.297855976738724
